date,month,weekday,high_temp,low_temp,weather,ジャーマンドッグ,レタスドッグ,チーズドッグ,生ハムさんど,エビアボカドサンド,トルコライス,カレー,エビグラタン,ミートドリア,ハンバーグドリア,ピザトースト,唐揚げ,フライドポテト,カンノーロ,コーヒーゼリーパフェ,アイスコーヒー,ブレンドコーヒー,沖縄黒糖ラテ,ice_drink_sales,hot_drink_sales,revenue
2024-06-05,6,2,18,8,1,5,6,3,5,8,1,2,1,1,1,3,2,2,1,1,71,49,7,178,56,150592
2024-06-06,6,3,18,11,1,6,4,3,4,5,1,2,1,1,1,2,2,2,1,1,93,49,8,161,41,162075
2024-06-07,6,4,26,16,1,3,5,4,4,6,2,2,2,1,1,4,2,2,2,1,85,51,6,191,54,143601
2024-06-08,6,5,24,16,0,5,4,3,6,7,2,2,1,1,1,4,1,1,2,1,67,62,9,196,55,150632
2024-06-09,6,6,20,12,0,4,4,4,8,6,1,3,2,1,1,4,2,1,3,1,80,21,9,193,62,146623
2024-06-10,6,0,19,13,0,4,5,3,4,6,1,3,1,1,1,4,2,1,1,1,69,62,6,166,48,153004
2024-06-11,6,1,26,19,0,6,4,3,4,6,1,2,2,1,1,4,2,2,1,1,64,55,11,175,47,153672
2024-06-12,6,2,20,14,1,7,6,3,7,9,3,2,1,1,1,4,1,1,2,1,59,46,9,184,49,158375
2024-06-13,6,3,26,17,1,5,4,5,5,7,2,3,2,1,1,3,1,1,1,1,93,57,8,156,46,144225
2024-06-14,6,4,26,16,2,5,4,0,4,3,1,1,0,0,0,2,0,1,1,0,87,43,6,145,38,119475
2024-06-15,6,5,18,8,0,5,4,5,5,6,1,2,1,1,1,5,2,1,1,1,72,38,7,216,69,162392
2024-06-16,6,6,27,18,0,6,3,2,7,8,2,2,1,1,1,4,2,2,2,1,63,52,10,225,61,149661
2024-06-17,6,0,21,14,0,5,5,3,6,6,2,2,1,1,1,4,1,2,1,1,68,48,7,166,48,146715
2024-06-18,6,1,21,13,1,5,4,3,3,7,1,2,2,1,1,6,2,2,1,1,58,49,8,172,48,136343
2024-06-19,6,2,19,10,0,5,4,3,5,8,2,2,1,1,1,6,2,1,2,1,97,41,7,161,41,136576
2024-06-20,6,3,18,9,1,4,5,4,6,5,1,3,2,1,1,6,1,1,2,1,85,58,7,175,48,143172
2024-06-21,6,4,19,12,0,7,6,4,5,6,1,2,2,1,1,5,1,2,1,1,66,44,6,160,47,148750
2024-06-22,6,5,22,13,0,6,5,2,4,4,2,2,1,1,1,4,2,2,2,1,82,65,6,215,56,142792
2024-06-23,6,6,21,13,1,6,5,3,7,3,2,2,2,1,1,4,2,1,2,1,76,55,10,197,63,170496
2024-06-24,6,0,26,18,1,7,4,3,6,6,2,3,1,1,1,5,2,1,1,1,97,54,8,187,52,133323
2024-06-25,6,1,21,13,1,4,3,4,6,6,1,2,1,1,1,3,2,1,1,1,74,40,8,155,44,142528
2024-06-26,6,2,25,19,0,5,4,4,7,7,2,2,1,1,1,4,1,1,1,1,90,65,8,185,56,153607
2024-06-27,6,3,26,17,1,5,3,4,5,6,1,2,2,1,1,4,2,1,2,1,109,41,7,164,50,169851
2024-06-28,6,4,20,13,0,4,5,5,5,8,1,2,2,1,1,4,2,2,2,1,92,34,9,171,50,142410
2024-06-29,6,5,21,13,0,5,3,5,6,7,2,3,1,1,1,4,1,1,2,1,85,51,7,225,69,148564
2024-06-30,6,6,24,15,0,8,5,4,6,6,1,1,2,1,1,4,1,1,1,1,109,49,8,210,62,144375
2024-07-01,7,0,30,24,1,5,5,5,5,6,2,3,2,1,1,4,1,1,2,1,55,34,5,156,47,158055
2024-07-02,7,1,28,21,1,7,6,3,5,6,1,2,1,1,1,5,1,2,2,1,74,35,7,185,47,124858
2024-07-03,7,2,25,17,0,6,4,3,5,6,2,2,2,1,1,4,2,1,2,1,78,59,7,191,54,144458
2024-07-04,7,3,25,16,0,6,4,3,4,8,2,2,2,1,1,4,2,1,2,1,85,35,4,163,52,161026
2024-07-05,7,4,26,20,0,6,4,3,4,7,1,3,1,1,1,5,1,1,1,1,51,51,5,189,56,153076
2024-07-06,7,5,26,16,0,4,5,3,6,5,2,3,1,1,1,4,1,1,2,1,94,35,8,225,71,144804
2024-07-07,7,6,25,19,0,4,5,5,5,6,1,2,1,1,1,5,1,1,2,1,51,52,5,202,56,148508
2024-07-08,7,0,31,24,2,4,3,3,3,5,0,3,0,0,0,3,1,2,0,0,80,38,8,142,45,92182
2024-07-09,7,1,27,17,0,5,4,2,6,7,2,2,2,1,1,6,1,1,2,1,61,61,6,176,58,158482
2024-07-10,7,2,26,19,1,7,5,3,5,3,1,3,2,1,1,3,2,1,2,1,93,25,7,158,49,126080
2024-07-11,7,3,28,19,0,5,4,3,5,7,2,2,1,1,1,5,1,1,1,1,64,32,8,170,55,140530
2024-07-12,7,4,31,24,0,7,5,4,5,7,2,3,2,1,1,6,2,1,1,1,75,30,7,181,56,162393
2024-07-13,7,5,22,12,2,4,2,3,4,5,1,1,0,0,0,4,1,0,0,0,54,32,6,166,52,123565
2024-07-14,7,6,22,12,2,4,3,2,4,4,1,2,1,0,0,2,0,0,0,0,66,44,5,173,48,147753
2024-07-15,7,0,30,22,0,6,4,4,6,6,2,1,2,1,1,4,2,1,2,1,78,57,8,164,44,171012
2024-07-16,7,1,27,19,0,4,6,5,5,10,1,2,2,1,1,5,1,1,1,1,84,53,9,179,51,162879
2024-07-17,7,2,27,18,2,4,2,3,4,6,1,2,1,0,0,4,1,1,1,0,62,35,7,155,48,123466
2024-07-18,7,3,28,20,0,8,4,5,6,7,1,3,1,1,1,5,1,1,1,1,63,47,8,159,48,181313
2024-07-19,7,4,26,16,1,4,5,4,5,7,2,2,2,1,1,5,2,2,2,1,94,52,6,177,54,146515
2024-07-20,7,5,25,17,2,4,4,2,6,4,0,2,0,0,0,2,1,1,0,0,49,37,4,189,57,126688
2024-07-21,7,6,24,15,0,6,5,4,6,6,2,3,1,1,1,4,2,2,1,1,91,55,8,205,67,108591
2024-07-22,7,0,31,25,0,4,4,5,9,9,2,3,2,1,1,4,2,1,2,1,70,55,8,176,44,140951
2024-07-23,7,1,25,19,0,5,4,4,4,6,1,3,2,1,1,4,2,2,1,1,82,51,8,161,53,161728
2024-07-24,7,2,22,13,0,5,3,3,6,4,1,3,2,1,1,5,1,1,2,1,105,57,10,169,48,125107
2024-07-25,7,3,25,18,1,7,4,4,4,10,2,2,1,1,1,4,2,1,2,1,101,44,8,157,44,173849
2024-07-26,7,4,24,15,0,5,4,4,3,7,1,2,2,1,1,2,1,2,2,1,85,60,7,174,58,136162
2024-07-27,7,5,24,16,0,4,4,3,7,6,1,2,1,1,1,4,2,1,2,1,99,45,7,203,51,145154
2024-07-28,7,6,31,24,0,6,3,4,7,8,2,3,2,1,1,4,2,2,1,1,51,44,6,215,65,145754
2024-07-29,7,0,23,15,0,5,6,2,6,3,1,2,2,1,1,4,1,1,2,1,74,42,6,167,44,161409
2024-07-30,7,1,27,17,2,3,4,2,6,2,1,1,0,0,0,2,0,1,0,0,66,36,5,152,43,131045
2024-07-31,7,2,28,20,0,3,6,4,7,8,2,3,1,1,1,6,1,1,2,1,98,48,9,189,48,133448
2024-08-01,8,3,26,17,0,5,5,4,6,6,1,2,2,1,1,4,2,2,1,1,86,69,7,177,51,150834
2024-08-02,8,4,26,20,0,6,3,3,7,8,1,2,1,1,1,5,1,1,2,1,92,38,8,157,48,139404
2024-08-03,8,5,25,19,2,4,3,2,5,3,1,2,0,0,0,3,0,0,0,0,78,36,7,179,46,127814
2024-08-04,8,6,22,15,0,6,3,3,8,10,2,2,2,1,1,5,2,1,1,1,67,38,8,233,60,157431
2024-08-05,8,0,28,18,2,6,4,2,5,7,1,1,1,0,0,5,1,0,1,0,67,39,5,136,42,118640
2024-08-06,8,1,22,16,0,6,4,3,6,4,1,3,2,1,1,5,2,2,2,1,93,44,8,173,46,156891
2024-08-07,8,2,28,18,0,4,5,4,6,8,2,2,2,1,1,4,1,1,2,1,67,46,5,192,50,132838
2024-08-08,8,3,28,22,0,7,2,3,6,7,1,3,1,1,1,5,1,2,1,1,103,57,7,152,47,139679
2024-08-09,8,4,23,13,0,7,5,4,7,3,2,3,1,1,1,5,1,2,2,1,69,55,5,187,60,146107
2024-08-10,8,5,27,21,0,4,5,3,6,7,2,2,2,1,1,4,2,1,2,1,88,68,7,216,65,151942
2024-08-11,8,6,29,22,0,6,5,4,5,6,2,2,2,1,1,3,1,1,1,1,81,42,11,225,68,154438
