date,month,day,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-04-06,4,6,5,15,8,1,30,31,47,38,38,42,29,59,29,23,24,30,36,48,47,57,44,28,30,103,95,129,109,91,30,17,52,81,62,52,32,39,68,75,135,159,1041780,151225
2024-04-07,4,7,6,12,4,0,37,37,32,46,53,21,44,33,37,58,20,39,36,48,45,36,45,33,44,125,139,92,96,79,25,37,71,48,49,31,29,33,70,62,116,151,1029120,152263
2024-04-08,4,8,0,16,6,0,32,22,39,32,37,29,47,37,32,42,31,43,40,24,32,45,48,30,49,103,112,104,138,106,36,20,46,39,32,32,32,49,61,60,129,117,1006750,161955
2024-04-09,4,9,1,15,5,0,33,19,36,43,36,38,55,57,34,38,24,39,31,38,43,46,49,38,55,135,80,100,98,96,43,31,59,51,43,32,29,46,76,92,124,96,1046230,140862
2024-04-10,4,10,2,13,6,0,30,21,31,45,53,43,35,50,34,35,20,32,30,37,46,48,32,30,54,95,71,105,79,82,44,26,32,55,53,49,39,50,72,57,113,133,928230,146449
2024-04-11,4,11,3,16,7,0,31,37,31,46,30,39,43,45,33,35,26,28,39,46,61,32,45,35,61,104,100,113,68,79,21,26,63,56,37,37,25,50,94,58,116,98,984690,131462
2024-04-12,4,12,4,16,7,1,29,16,19,37,54,33,46,43,35,42,16,33,54,34,49,42,54,42,56,85,121,74,101,97,34,33,61,73,61,49,23,32,75,79,106,98,1018200,161716
2024-04-13,4,13,5,14,7,0,35,30,33,29,31,35,34,51,36,39,29,33,49,47,43,36,38,37,53,110,122,73,105,91,28,31,55,72,44,33,36,29,71,88,161,136,1015480,170166
2024-04-14,4,14,6,12,3,1,26,26,23,33,57,35,43,42,28,45,16,38,40,45,36,47,54,27,66,110,104,105,92,91,27,26,59,51,17,45,42,45,96,87,150,141,1035260,153889
2024-04-15,4,15,0,16,9,0,22,24,34,46,35,43,46,59,30,30,24,32,42,28,47,44,44,34,50,109,70,82,84,40,34,23,54,63,60,42,46,49,92,53,105,106,918440,147337
2024-04-16,4,16,1,18,9,1,17,33,27,37,48,39,39,55,24,43,28,29,43,48,28,61,53,37,51,95,94,108,83,74,35,19,61,48,43,47,27,24,71,72,135,96,962060,161436
2024-04-17,4,17,2,17,11,0,32,24,32,42,42,33,59,26,29,27,28,39,45,31,42,49,43,43,44,84,110,91,85,95,26,33,33,61,52,40,26,59,99,77,83,124,988800,152520
2024-04-18,4,18,3,12,6,0,21,21,30,30,35,30,45,58,29,39,16,28,40,40,26,47,48,35,56,117,86,78,95,75,41,22,51,51,38,26,42,42,110,85,130,110,977800,163870
2024-04-19,4,19,4,12,4,0,21,33,24,41,44,43,39,51,31,48,21,30,34,37,48,42,42,45,49,64,85,93,128,95,34,22,53,41,54,46,35,55,55,80,140,100,967110,168423
2024-04-20,4,20,5,11,5,0,25,33,37,34,33,41,30,56,34,36,27,31,37,31,52,39,30,46,50,112,114,80,80,65,42,29,42,57,45,34,32,32,61,77,106,149,939080,130213
2024-04-21,4,21,6,16,10,0,31,27,31,37,29,38,48,47,34,61,21,37,48,46,38,50,28,37,36,99,82,112,84,90,49,30,54,61,49,20,25,27,83,91,123,160,990920,159335
2024-04-22,4,22,0,13,4,1,30,25,26,35,60,33,37,37,36,41,20,41,30,46,40,53,30,35,59,115,95,64,70,63,36,34,55,66,36,53,41,43,92,75,125,100,948950,124724
2024-04-23,4,23,1,12,2,0,31,30,31,37,43,22,31,34,27,35,28,26,49,41,30,38,46,50,44,128,106,80,86,90,30,33,35,60,40,26,39,41,85,80,136,90,978540,138022
2024-04-24,4,24,2,13,7,1,23,32,37,39,36,38,37,39,36,39,29,30,56,30,61,50,65,42,68,115,83,137,82,80,52,26,70,59,40,46,31,34,73,92,139,96,1060390,154089
2024-04-25,4,25,3,13,4,0,35,36,23,32,46,39,48,60,36,45,25,20,34,46,48,38,41,51,53,111,113,72,120,102,54,22,50,52,32,36,39,42,59,83,117,91,1030230,152449
2024-04-26,4,26,4,16,7,0,22,34,23,27,42,41,47,45,35,37,25,24,49,45,41,45,32,47,50,79,88,72,126,96,36,29,52,54,43,28,33,43,63,71,106,112,948980,165181
2024-04-27,4,27,5,14,4,1,37,36,30,39,39,40,41,38,31,33,24,30,25,29,35,44,53,47,41,71,88,81,96,83,36,26,64,48,39,37,46,45,65,83,143,131,921010,147114
2024-04-28,4,28,6,17,10,0,34,29,25,37,42,29,44,57,26,26,27,38,53,28,38,25,42,50,46,99,106,108,111,76,43,26,54,47,43,43,36,52,80,110,159,132,1034940,168713
2024-04-29,4,29,0,14,6,2,29,13,24,31,35,34,43,41,29,32,20,21,23,28,33,42,43,50,49,104,44,63,67,49,27,25,59,38,21,35,25,39,43,55,112,75,745180,138648
2024-04-30,4,30,1,16,6,1,21,30,26,43,42,53,46,32,29,35,20,36,29,57,34,26,33,31,57,106,133,66,68,102,32,25,72,52,30,36,35,28,82,78,117,88,971200,155033
2024-05-01,5,1,2,20,12,0,29,35,20,32,33,36,32,59,26,49,30,37,35,39,38,49,40,43,48,107,97,103,117,80,36,19,64,47,48,42,40,38,106,53,104,120,1018050,158891
2024-05-02,5,2,3,23,14,0,31,20,29,25,28,34,29,46,29,44,32,29,27,30,48,39,42,38,36,87,106,92,104,79,40,32,35,65,43,43,39,37,105,79,144,100,970080,153926
2024-05-03,5,3,4,16,6,2,28,22,25,30,40,30,34,50,16,33,21,22,31,27,49,42,40,28,47,84,91,98,70,58,28,16,51,66,40,21,33,37,64,80,90,104,863760,150859
2024-05-04,5,4,5,24,16,0,29,39,32,46,33,50,54,41,30,23,16,32,56,47,42,44,30,38,23,60,108,87,112,91,36,25,46,53,34,45,37,46,76,89,147,115,965860,152419
2024-05-05,5,5,6,19,11,0,31,36,27,21,43,35,37,31,34,45,24,36,40,64,39,43,52,44,39,78,121,69,57,102,35,26,65,58,47,47,33,33,78,73,144,143,947110,162403
2024-05-06,5,6,0,24,18,0,30,37,29,37,36,36,31,51,28,44,29,21,36,37,57,44,47,25,58,112,63,109,83,86,37,24,72,26,43,49,30,38,101,98,104,128,996310,119357
2024-05-07,5,7,1,17,8,1,31,24,47,45,46,47,51,32,29,23,26,35,45,38,54,55,57,38,46,115,103,118,80,99,35,31,50,31,28,42,36,54,86,87,118,103,1045390,139107
2024-05-08,5,8,2,18,8,0,23,25,29,32,32,43,22,38,33,39,21,25,33,34,47,29,29,37,55,107,91,58,97,75,29,21,31,57,31,41,22,39,69,80,127,112,878250,152380
2024-05-09,5,9,3,18,9,0,25,32,29,30,50,35,37,51,18,38,35,28,47,39,50,39,58,29,58,102,105,91,90,117,24,26,60,36,44,46,35,54,61,76,128,105,1004130,152132
2024-05-10,5,10,4,24,16,1,38,28,32,23,39,37,53,57,42,36,23,23,45,38,38,57,52,30,46,70,113,105,95,78,36,37,38,48,55,34,34,65,69,57,119,90,965000,143892
2024-05-11,5,11,5,19,10,1,25,22,44,40,36,52,38,41,31,41,22,33,46,38,40,46,41,37,37,103,81,73,91,81,15,27,40,61,52,24,25,53,55,55,116,142,893200,127587
