date,month,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-04-13,4,5,16,8,0,32,17,33,47,32,50,40,49,33,45,25,30,39,54,51,47,55,33,62,109,93,90,62,100,40,22,60,51,20,33,33,34,67,95,137,148,984720,141458
2024-04-14,4,6,14,6,0,30,20,32,38,29,31,44,45,35,31,31,28,37,31,29,37,52,57,56,73,90,114,92,95,33,26,67,51,53,39,31,39,100,85,126,131,996070,139682
2024-04-15,4,0,13,5,2,21,18,28,26,35,32,37,41,26,35,28,24,46,35,36,44,35,18,45,65,108,63,113,69,28,24,54,36,32,30,33,45,63,71,100,93,855320,116391
2024-04-16,4,1,18,10,2,23,13,31,29,34,43,11,42,24,19,21,23,32,34,45,37,44,27,47,102,86,109,85,75,33,25,55,51,36,33,22,28,93,56,101,82,896540,140128
2024-04-17,4,2,15,9,0,26,26,32,40,25,34,33,54,36,43,23,28,22,31,51,37,38,35,41,106,104,103,73,94,47,26,58,52,32,40,31,29,88,77,100,132,969600,161560
2024-04-18,4,3,17,9,0,29,24,33,41,32,29,34,63,30,39,32,24,43,44,51,39,52,35,34,108,103,120,65,98,49,24,43,42,52,45,32,31,65,90,94,107,995190,155829
2024-04-19,4,4,14,5,0,30,26,36,37,44,20,48,54,25,47,25,26,49,30,45,49,53,27,61,110,88,78,105,83,32,37,38,57,43,28,43,50,95,65,98,141,986830,160494
2024-04-20,4,5,18,9,1,36,18,39,27,35,50,30,47,23,34,29,37,48,49,41,43,39,25,45,111,99,108,67,70,46,24,42,63,33,45,39,56,50,67,123,162,938650,142258
2024-04-21,4,6,18,9,1,30,26,41,40,45,35,41,31,26,38,29,40,41,32,55,50,59,40,56,95,80,69,80,77,51,27,49,45,56,32,39,40,71,56,136,154,912440,159838
2024-04-22,4,0,13,3,1,30,26,32,38,39,29,43,45,41,45,21,34,37,43,56,51,26,45,35,148,107,111,80,66,40,30,70,45,47,33,33,61,82,74,135,91,1038130,122325
2024-04-23,4,1,10,1,0,30,35,23,46,39,20,44,47,40,42,19,30,33,40,40,37,61,35,62,129,113,122,106,73,26,26,46,45,63,41,35,54,66,62,146,101,1037290,144531
2024-04-24,4,2,11,2,0,19,26,31,27,33,55,19,43,33,37,18,31,53,44,44,48,35,35,56,108,93,114,93,96,39,24,62,58,42,36,26,31,90,58,128,119,996500,157960
2024-04-25,4,3,15,5,0,21,23,32,38,52,30,22,29,25,44,17,23,48,43,51,36,53,35,58,66,85,93,105,102,42,31,50,40,39,38,40,32,95,73,138,95,950020,122636
2024-04-26,4,4,17,10,1,25,30,24,29,40,51,46,43,20,55,27,26,45,46,42,40,36,33,64,107,119,70,87,104,34,20,48,67,35,25,49,33,116,108,126,95,1051210,178102
2024-04-27,4,5,10,2,0,29,27,32,32,30,31,29,55,42,31,28,26,47,42,40,49,28,40,40,109,74,74,106,75,30,26,66,78,53,44,31,34,53,99,132,130,952480,148529
2024-04-28,4,6,12,4,0,16,22,20,39,44,37,43,40,31,49,25,30,34,33,47,55,37,38,49,88,78,79,98,69,31,32,46,53,42,58,26,45,64,71,137,139,904480,151938
2024-04-29,4,0,18,8,0,28,36,28,40,29,42,54,57,31,40,31,28,57,42,36,64,42,45,46,79,99,94,76,99,42,33,85,52,28,28,22,64,65,44,126,89,963400,143228
2024-04-30,4,1,11,4,0,30,31,21,42,29,31,37,48,34,40,38,44,46,45,54,39,50,29,48,76,99,89,69,75,41,29,69,62,45,46,33,50,99,50,111,106,948940,151877
2024-05-01,5,2,15,5,0,29,25,33,45,48,22,39,37,32,41,18,30,29,49,56,35,47,34,41,80,93,91,114,96,55,27,61,48,49,34,45,45,96,65,98,119,991650,162700
2024-05-02,5,3,20,12,2,27,32,31,29,21,33,33,33,28,32,15,18,28,36,20,48,47,26,31,108,85,57,49,73,36,20,31,48,42,27,26,19,57,70,98,85,775840,129746
2024-05-03,5,4,15,6,1,25,22,39,36,42,44,41,47,39,30,25,31,44,37,45,26,59,33,59,63,97,124,84,137,43,26,38,55,41,18,29,35,62,38,108,120,951890,162705
2024-05-04,5,5,19,9,1,29,37,27,16,34,34,55,45,18,29,29,42,32,49,25,51,41,30,43,92,90,95,73,100,38,28,58,60,41,39,46,55,97,72,155,107,969160,163556
2024-05-05,5,6,18,8,1,34,41,14,36,30,51,46,57,23,34,23,28,35,44,44,39,32,33,34,105,110,93,77,89,42,31,53,58,56,39,34,51,100,83,118,144,1009340,158421
2024-05-06,5,0,24,17,2,27,23,20,36,39,22,23,31,23,25,20,16,27,26,31,32,33,32,39,65,67,86,78,46,28,9,46,37,42,32,26,38,68,28,71,101,713100,125870
2024-05-07,5,1,21,11,0,32,31,43,23,44,28,36,41,33,32,31,40,46,49,34,37,27,41,58,99,92,95,108,88,24,33,47,48,41,42,28,61,63,85,139,95,976180,180682
2024-05-08,5,2,18,12,2,31,11,25,38,18,43,30,34,20,31,24,26,31,40,43,36,37,25,17,77,76,50,87,69,30,29,48,47,32,25,30,42,69,69,94,69,782450,137609
2024-05-09,5,3,20,14,0,33,31,20,37,40,32,25,51,35,38,35,39,39,40,46,48,29,41,71,94,116,78,98,87,36,29,67,44,49,37,38,35,82,85,146,102,1002420,135038
2024-05-10,5,4,21,13,1,34,26,35,38,37,33,43,40,36,35,20,30,35,35,46,52,44,55,65,120,69,107,91,108,29,29,48,60,34,29,37,26,91,81,125,106,1012130,120181
2024-05-11,5,5,24,16,1,34,24,32,37,39,59,36,63,20,30,24,37,34,44,41,33,42,34,45,86,114,62,59,87,35,30,37,44,34,46,37,33,84,84,145,105,915200,153627
