date,month,day,weekday,high_temp,low_temp,weather,ジャーマンドッグ,レタスドッグ,チーズドッグ,生ハムさんど,エビアボカドサンド,トルコライス,カレー,エビグラタン,ミートドリア,ハンバーグドリア,ピザトースト,唐揚げ,フライドポテト,カンノーロ,コーヒーゼリーパフェ,アイスコーヒー,ブレンドコーヒー,沖縄黒糖ラテ,ice_drink_sales,hot_drink_sales,revenue
2024-04-25,4,25,3,11,2,1,4,5,3,4,5,1,2,2,1,1,2,1,2,1,1,77,44,10,132,96,158565
2024-04-26,4,26,4,17,10,1,7,6,2,6,8,1,3,2,1,1,5,2,1,1,1,59,53,9,111,136,133436
2024-04-27,4,27,5,16,10,2,4,4,4,3,5,0,1,0,0,0,3,1,1,0,0,69,31,6,108,135,136640
2024-04-28,4,28,6,12,5,0,6,4,5,5,5,2,2,2,1,1,4,2,1,1,1,106,57,6,103,147,158214
2024-04-29,4,29,0,11,5,0,3,3,3,7,7,1,3,2,1,1,5,2,2,2,1,58,59,6,102,133,132316
2024-04-30,4,30,1,16,7,0,5,6,3,5,7,2,3,2,1,1,5,1,2,2,1,80,53,9,104,124,154048
2024-05-01,5,1,2,18,12,2,5,5,1,6,7,0,2,1,0,0,4,0,1,0,0,56,36,6,122,89,147578
2024-05-02,5,2,3,23,16,0,7,5,4,6,8,2,3,1,1,1,3,2,1,1,1,33,48,7,119,95,128277
2024-05-03,5,3,4,21,15,0,4,2,3,7,6,1,3,2,1,1,5,2,2,1,1,88,58,7,115,115,150088
2024-05-04,5,4,5,16,10,1,5,2,3,5,6,2,3,1,1,1,6,1,1,1,1,105,59,8,110,146,146061
2024-05-05,5,5,6,15,5,1,3,5,4,7,5,2,4,2,1,1,6,1,1,1,1,104,64,10,140,129,151764
2024-05-06,5,6,0,19,10,0,5,5,5,6,7,2,2,2,1,1,4,1,2,2,1,72,61,8,114,93,133850
2024-05-07,5,7,1,17,7,1,6,3,3,8,6,1,2,1,1,1,4,1,2,1,1,89,59,7,90,124,153694
2024-05-08,5,8,2,15,6,0,5,4,4,5,7,2,2,1,1,1,6,1,2,1,1,64,49,6,142,101,153147
2024-05-09,5,9,3,24,14,0,6,6,3,5,7,1,3,2,1,1,2,1,2,2,1,71,47,6,113,127,147547
2024-05-10,5,10,4,15,9,0,4,4,5,6,5,2,3,2,1,1,5,1,1,2,1,87,41,8,143,104,166968
2024-05-11,5,11,5,16,8,0,5,7,3,6,5,1,3,1,1,1,4,2,1,1,1,97,44,10,118,147,164762
2024-05-12,5,12,6,16,8,0,4,4,3,5,7,2,1,1,1,1,5,2,2,2,1,74,53,7,142,147,165158
2024-05-13,5,13,0,20,13,0,5,6,3,4,6,2,3,1,1,1,3,1,1,1,1,95,30,6,132,105,146730
2024-05-14,5,14,1,19,10,0,6,3,3,5,6,3,3,1,1,1,4,1,1,2,1,85,47,10,119,97,157371
2024-05-15,5,15,2,22,15,0,2,5,3,5,6,1,3,2,1,1,5,1,1,1,1,78,53,9,118,98,140742
2024-05-16,5,16,3,17,8,1,6,4,2,6,8,2,2,2,1,1,3,2,1,1,1,79,54,6,109,116,187258
2024-05-17,5,17,4,23,14,0,5,5,4,4,9,1,1,3,1,1,4,1,1,1,1,58,34,8,128,91,175035
2024-05-18,5,18,5,18,8,1,6,4,4,5,7,2,2,1,1,1,5,1,1,1,1,92,38,3,121,131,146569
2024-05-19,5,19,6,22,12,0,6,5,2,6,8,2,3,2,1,1,6,1,2,2,1,70,28,6,166,113,150575
2024-05-20,5,20,0,24,16,1,5,4,4,6,8,1,3,1,1,1,4,2,2,2,1,85,54,9,117,110,147018
2024-05-21,5,21,1,15,9,0,6,4,4,5,7,1,3,1,1,1,5,2,2,2,1,78,66,7,91,112,158584
2024-05-22,5,22,2,21,13,1,4,5,3,7,4,2,4,2,1,1,5,1,2,2,1,70,27,8,122,111,128888
2024-05-23,5,23,3,20,14,2,4,3,2,4,5,0,2,1,0,0,4,1,0,0,0,55,38,6,83,102,134366
2024-05-24,5,24,4,24,18,0,6,4,3,4,7,1,2,2,1,1,5,2,1,2,1,83,39,7,103,97,150363
2024-05-25,5,25,5,15,8,2,4,2,1,4,5,1,0,0,0,0,1,1,0,0,0,58,51,7,136,103,137413
2024-05-26,5,26,6,22,16,0,6,4,2,9,9,2,2,2,1,1,2,2,2,2,1,73,39,7,153,111,152274
2024-05-27,5,27,0,24,18,0,6,5,5,5,9,2,3,2,1,1,4,1,1,1,1,109,43,9,112,90,153657
2024-05-28,5,28,1,16,9,0,4,4,4,6,5,1,2,2,1,1,3,2,2,1,1,101,59,9,127,88,133109
2024-05-29,5,29,2,16,10,0,5,3,3,5,7,1,3,2,1,1,7,2,1,2,1,106,45,9,129,111,153517
2024-05-30,5,30,3,15,7,1,5,3,3,7,6,2,3,2,1,1,6,2,1,2,1,57,61,9,128,91,129420
2024-05-31,5,31,4,22,15,0,4,5,4,6,7,2,2,1,1,1,4,1,2,2,1,52,47,10,117,108,140657
2024-06-01,6,1,5,18,11,0,6,6,4,6,7,1,2,1,1,1,4,1,1,1,1,101,45,8,211,61,179798
2024-06-02,6,2,6,19,9,1,6,7,4,5,7,2,3,1,1,1,4,1,2,1,1,86,37,7,198,65,154569
2024-06-03,6,3,0,26,18,0,4,6,5,5,9,1,4,2,1,1,4,1,1,1,1,81,49,7,177,58,152058
2024-06-04,6,4,1,27,18,1,6,2,3,5,7,2,2,2,1,1,5,2,1,1,1,68,63,9,189,49,166749
2024-06-05,6,5,2,26,17,0,6,2,3,3,7,2,3,2,1,1,5,1,2,1,1,65,40,7,161,53,167923
2024-06-06,6,6,3,26,18,0,7,5,4,6,5,1,2,1,1,1,6,2,2,1,1,89,49,6,156,44,172846
2024-06-07,6,7,4,26,19,1,5,6,4,6,9,2,2,1,1,1,5,2,2,1,1,61,37,9,166,48,158748
2024-06-08,6,8,5,21,11,0,5,4,3,4,6,1,3,1,1,1,5,1,1,1,1,69,48,9,209,64,144153
2024-06-09,6,9,6,18,11,0,6,5,3,7,6,1,3,1,1,1,3,2,1,2,1,78,42,9,202,52,133292
2024-06-10,6,10,0,19,9,0,6,5,3,7,7,1,1,2,1,1,5,2,2,1,1,68,50,7,157,47,114471
2024-06-11,6,11,1,27,18,0,6,3,3,7,6,1,2,1,1,1,4,1,2,2,1,85,52,8,175,50,133410
2024-06-12,6,12,2,18,12,1,6,3,4,5,6,2,2,2,1,1,3,1,1,1,1,95,61,7,163,42,149118
2024-06-13,6,13,3,24,18,2,5,3,3,4,6,1,1,0,0,0,1,0,0,1,0,70,44,6,166,42,131787
2024-06-14,6,14,4,18,8,1,6,5,5,3,10,2,2,2,1,1,3,2,2,1,1,90,51,8,155,48,146679
2024-06-15,6,15,5,27,17,1,4,5,4,5,6,2,2,2,1,1,4,2,1,1,1,97,58,5,214,57,150069
2024-06-16,6,16,6,18,10,2,5,3,3,5,6,0,2,1,0,0,3,0,0,0,0,55,40,5,176,53,128085
2024-06-17,6,17,0,18,9,1,6,3,5,8,10,1,2,2,1,1,5,1,1,1,1,55,55,7,169,56,151482
2024-06-18,6,18,1,21,15,1,6,6,4,3,8,1,3,2,1,1,6,2,2,2,1,70,43,5,178,46,117816
2024-06-19,6,19,2,26,16,1,6,4,3,6,8,1,2,2,1,1,3,1,2,2,1,67,70,7,176,44,167334
2024-06-20,6,20,3,22,13,2,5,3,3,4,7,1,1,1,0,0,3,1,1,1,0,76,50,5,142,42,107361
2024-06-21,6,21,4,22,13,1,5,5,4,4,6,1,3,1,1,1,5,2,1,1,1,70,65,4,173,50,134425
2024-06-22,6,22,5,25,16,0,7,6,4,6,6,1,3,1,1,1,4,1,1,2,1,92,44,7,206,67,120201
2024-06-23,6,23,6,22,14,0,5,6,3,5,6,2,1,1,1,1,3,1,2,1,1,84,57,9,195,54,164159
2024-06-24,6,24,0,25,18,0,6,4,4,4,9,1,3,2,1,1,5,1,2,2,1,61,52,6,187,48,158303
2024-06-25,6,25,1,22,15,0,5,3,3,5,8,1,2,1,1,1,4,2,2,2,1,83,64,9,181,54,171568
2024-06-26,6,26,2,27,17,0,5,4,3,6,7,2,3,1,1,1,3,1,2,1,1,78,47,6,177,44,154738
2024-06-27,6,27,3,20,13,2,2,3,1,5,5,1,2,1,0,0,5,0,0,1,0,74,59,6,160,51,123257
2024-06-28,6,28,4,20,13,2,3,3,2,3,6,0,1,0,0,0,5,1,0,0,0,46,32,9,140,37,137168
2024-06-29,6,29,5,21,12,0,6,5,4,7,7,1,2,2,1,1,5,2,2,1,1,65,56,7,218,62,127889
2024-06-30,6,30,6,20,10,1,4,4,4,4,6,1,4,2,1,1,6,2,1,2,1,78,49,8,199,50,139249
2024-07-01,7,1,0,27,17,1,6,4,4,4,10,2,3,2,1,1,6,1,2,2,1,60,30,7,175,54,166225
2024-07-02,7,2,1,26,19,2,3,2,2,5,5,1,2,0,0,0,1,1,1,1,0,77,46,6,141,40,139711
2024-07-03,7,3,2,23,14,1,6,3,2,3,6,1,2,1,1,1,4,2,2,1,1,100,35,4,193,55,166097
2024-07-04,7,4,3,28,18,0,7,4,4,6,8,1,3,1,1,1,4,2,2,1,1,114,46,8,181,54,195454
2024-07-05,7,5,4,30,21,0,5,6,4,4,7,3,3,2,1,1,5,1,2,2,1,88,32,8,173,47,136255
2024-07-06,7,6,5,29,19,0,6,6,3,7,8,1,3,1,1,1,5,2,1,1,1,90,57,9,223,62,156989
2024-07-07,7,7,6,31,23,0,5,4,3,6,9,2,2,1,1,1,5,2,2,2,1,68,49,8,219,59,153947
2024-07-08,7,8,0,25,18,0,7,5,4,5,9,2,3,1,1,1,7,1,1,2,1,105,44,9,188,58,146465
2024-07-09,7,9,1,27,18,0,6,4,4,5,7,1,3,1,1,1,7,2,1,2,1,78,56,7,157,46,139091
2024-07-10,7,10,2,31,24,1,5,3,2,6,6,1,3,2,1,1,4,1,2,1,1,89,62,8,192,50,150557
2024-07-11,7,11,3,28,22,1,5,5,5,7,6,2,2,2,1,1,3,1,1,1,1,68,57,10,179,45,149169
2024-07-12,7,12,4,24,14,0,8,5,3,6,6,1,3,1,1,1,5,1,1,1,1,92,62,11,158,48,144273
2024-07-13,7,13,5,25,15,0,4,4,3,5,5,1,3,2,1,1,5,1,2,2,1,65,58,5,222,62,147742
2024-07-14,7,14,6,29,21,0,6,5,2,5,8,2,2,2,1,1,3,2,2,2,1,95,39,7,199,50,139425
2024-07-15,7,15,0,31,23,0,5,4,4,6,8,1,4,1,1,1,3,2,2,1,1,67,53,6,154,50,147215
2024-07-16,7,16,1,26,19,0,5,3,3,4,8,1,2,1,1,1,3,2,1,2,1,89,47,9,181,51,180771
2024-07-17,7,17,2,26,19,1,4,5,4,7,4,1,3,1,1,1,5,2,1,1,1,90,65,8,175,50,143750
2024-07-18,7,18,3,29,21,1,6,6,4,6,5,2,3,1,1,1,6,2,1,1,1,67,54,10,188,48,142666
2024-07-19,7,19,4,29,22,0,3,6,4,4,7,2,2,1,1,1,5,1,1,2,1,81,49,9,165,51,147218
2024-07-20,7,20,5,24,16,2,5,4,1,4,5,0,2,0,0,0,4,0,0,1,0,56,55,6,169,53,125346
2024-07-21,7,21,6,28,19,2,5,5,4,6,3,0,1,0,0,0,4,1,1,0,0,76,36,8,197,53,159522
2024-07-22,7,22,0,22,14,1,5,5,3,4,7,1,2,2,1,1,4,2,1,1,1,83,48,7,164,48,130242
2024-07-23,7,23,1,31,23,0,4,5,4,6,8,2,2,2,1,1,3,2,2,2,1,61,55,7,175,48,175888
2024-07-24,7,24,2,22,14,0,7,6,4,6,6,2,3,2,1,1,3,2,1,2,1,91,50,7,183,55,141594
2024-07-25,7,25,3,23,15,1,7,4,4,6,5,1,2,2,1,1,3,1,1,2,1,99,34,8,184,50,133848
2024-07-26,7,26,4,30,22,2,3,3,3,5,6,1,2,1,0,0,3,1,0,1,0,64,51,4,125,38,113653
2024-07-27,7,27,5,27,20,1,7,4,3,3,9,2,4,2,1,1,3,1,1,2,1,93,60,9,197,54,138603
2024-07-28,7,28,6,31,21,0,6,2,4,4,7,1,3,1,1,1,3,1,2,1,1,96,57,7,229,63,122068
2024-07-29,7,29,0,31,22,0,4,4,4,4,6,2,3,2,1,1,4,2,2,1,1,63,39,6,156,51,131988
2024-07-30,7,30,1,25,18,1,5,4,3,7,6,2,3,1,1,1,4,2,2,2,1,92,54,9,177,51,145546
2024-07-31,7,31,2,25,16,0,5,2,3,6,6,2,2,3,1,1,4,1,1,2,1,107,54,7,153,47,146456
2024-08-01,8,1,3,26,16,1,6,5,3,6,8,2,3,2,1,1,5,2,2,1,1,50,39,9,160,42,179898
2024-08-02,8,2,4,26,20,0,5,4,3,5,5,2,3,2,1,1,5,1,1,2,1,75,71,8,186,58,158154
2024-08-03,8,3,5,29,20,1,5,3,3,5,7,1,3,2,1,1,4,2,1,1,1,81,59,8,196,57,168160
2024-08-04,8,4,6,29,23,0,7,5,4,5,7,2,4,1,1,1,4,1,1,2,1,63,45,5,238,60,148042
2024-08-05,8,5,0,29,23,0,5,3,4,6,11,2,2,1,1,1,4,1,2,2,1,69,48,8,186,61,146303
2024-08-06,8,6,1,23,16,0,3,4,4,7,8,2,3,1,1,1,5,1,1,1,1,61,49,7,174,50,167327
2024-08-07,8,7,2,31,21,0,6,5,5,6,7,2,2,2,1,1,6,2,1,2,1,87,53,9,152,49,182546
2024-08-08,8,8,3,23,16,1,5,5,3,4,8,1,3,1,1,1,5,1,1,1,1,117,50,9,193,52,138897
2024-08-09,8,9,4,30,22,0,6,6,4,6,6,2,2,2,1,1,5,2,2,1,1,98,55,9,179,53,145510
2024-08-10,8,10,5,24,17,0,5,3,5,5,8,2,4,2,1,1,4,1,2,1,1,82,53,4,201,54,137652
2024-08-11,8,11,6,23,14,0,6,4,4,4,7,1,2,2,1,1,5,1,1,2,1,78,28,7,219,67,176131
