date,month,day,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-04-07,4,7,6,14,4,2,25,30,21,30,35,32,43,54,28,46,15,21,22,39,31,35,53,35,43,85,59,70,70,66,30,20,54,50,41,25,22,52,62,72,106,122,814700,129438
2024-04-08,4,8,0,10,2,2,17,17,20,24,29,32,35,31,19,27,18,12,42,30,41,32,36,27,45,76,93,88,73,72,28,21,22,50,30,23,26,35,78,64,70,103,800160,114096
2024-04-09,4,9,1,16,8,0,30,23,27,43,42,32,31,47,35,28,25,28,37,49,50,40,52,33,59,92,83,112,103,111,43,29,42,64,31,41,24,49,79,92,106,120,1018800,142933
2024-04-10,4,10,2,12,3,1,22,28,28,40,32,47,45,50,32,23,20,24,40,49,52,66,49,36,63,83,100,79,117,75,46,21,57,53,42,32,42,35,74,70,112,130,975000,160164
2024-04-11,4,11,3,16,9,1,35,38,27,38,53,29,40,47,19,45,27,35,48,51,38,45,44,58,53,97,114,82,79,77,27,33,56,76,49,37,38,38,53,74,140,94,976790,175765
2024-04-12,4,12,4,12,6,1,29,29,27,17,45,39,54,55,25,31,21,25,46,49,44,44,55,23,36,86,71,71,96,44,42,36,57,58,43,41,25,53,95,83,100,105,912120,148467
2024-04-13,4,13,5,14,8,1,35,21,24,32,34,46,32,62,36,49,27,27,30,32,19,47,39,41,50,54,106,99,104,92,34,38,67,51,43,38,35,45,77,75,146,122,960920,142557
2024-04-14,4,14,6,17,8,0,27,24,29,48,52,37,49,44,26,31,28,43,44,47,24,34,34,43,70,93,87,113,101,88,27,23,61,49,38,29,36,52,94,74,115,163,1006070,123829
2024-04-15,4,15,0,16,7,0,29,26,30,39,42,35,30,64,27,31,22,29,46,47,30,49,33,38,48,95,74,78,75,46,45,27,49,52,40,44,40,36,87,63,141,95,878850,144886
2024-04-16,4,16,1,19,13,0,33,22,32,27,40,40,35,38,26,41,28,33,37,31,46,42,37,38,54,89,110,96,124,73,32,20,47,68,28,48,30,57,85,54,112,127,977690,151873
2024-04-17,4,17,2,13,3,0,22,29,30,47,41,33,55,56,32,45,25,31,31,39,45,53,40,44,42,103,104,58,80,91,26,24,59,60,49,53,40,42,68,80,138,100,967790,152924
2024-04-18,4,18,3,10,2,0,26,25,20,42,34,33,39,59,28,36,26,44,43,49,60,42,45,38,35,60,83,85,85,85,37,26,43,65,42,37,43,46,88,56,128,94,914030,159228
2024-04-19,4,19,4,16,10,0,30,25,18,26,37,39,39,52,28,43,22,16,49,39,36,48,32,29,43,83,79,101,75,74,26,41,51,46,58,47,36,38,54,91,83,124,901400,162289
2024-04-20,4,20,5,13,4,0,37,26,32,32,31,36,32,42,32,39,21,26,43,58,27,45,50,41,47,91,75,110,85,122,29,30,34,48,48,37,26,55,82,72,148,119,971930,139198
2024-04-21,4,21,6,17,7,0,28,32,41,40,34,41,53,57,26,26,23,41,29,45,42,46,32,36,31,113,115,98,76,98,24,12,59,48,22,40,32,47,65,93,126,140,989810,158096
2024-04-22,4,22,0,12,5,0,33,30,34,54,40,38,31,61,33,33,27,33,26,43,29,44,38,59,47,67,131,87,85,95,19,20,76,54,65,29,30,37,70,106,122,114,1005450,103708
2024-04-23,4,23,1,18,8,1,26,32,26,35,39,39,17,16,34,25,25,45,45,28,46,38,37,45,54,74,88,83,101,91,35,15,65,59,43,18,23,30,66,72,124,107,895140,154776
2024-04-24,4,24,2,10,0,0,26,31,35,40,47,43,39,53,28,45,24,36,42,48,49,36,42,51,60,119,119,129,90,97,38,33,70,42,44,37,40,44,79,83,101,141,1098940,163112
2024-04-25,4,25,3,10,4,0,35,31,31,39,43,33,36,42,37,35,23,33,53,40,56,55,43,41,50,130,126,89,58,70,48,23,41,60,50,17,22,53,97,82,116,87,1018590,157560
2024-04-26,4,26,4,14,4,0,29,31,27,38,28,33,33,31,29,30,26,41,35,30,47,35,38,37,60,98,119,129,113,68,28,26,53,46,42,46,20,39,76,52,109,118,978670,182093
2024-04-27,4,27,5,14,4,0,32,34,17,42,52,34,29,56,27,33,18,29,36,50,62,43,52,35,43,138,122,90,55,76,43,37,55,63,49,28,34,50,77,71,129,157,1010690,147178
2024-04-28,4,28,6,13,4,1,39,31,31,35,35,37,48,51,25,36,19,25,45,39,50,48,31,36,71,96,70,87,85,81,35,22,53,37,48,34,29,52,84,100,102,151,958440,147539
2024-04-29,4,29,0,17,10,0,27,25,28,35,38,52,44,54,24,46,24,17,37,53,47,35,43,36,46,72,79,42,96,100,14,38,55,56,52,41,32,55,102,49,124,103,909080,177112
2024-04-30,4,30,1,19,13,0,27,37,35,41,37,42,34,46,37,39,31,29,38,34,29,37,39,27,49,83,109,89,103,80,31,31,77,62,35,27,36,33,59,58,113,94,936900,135544
2024-05-01,5,1,2,18,9,1,34,32,26,43,31,39,41,38,23,32,31,35,32,45,39,30,43,43,39,111,85,83,68,119,31,29,58,30,38,36,41,44,105,88,94,111,976570,151139
2024-05-02,5,2,3,20,10,0,31,33,23,20,40,48,41,43,40,39,33,38,42,40,38,64,41,32,47,80,89,110,83,91,47,36,56,53,43,35,34,30,53,65,102,141,941770,139860
2024-05-03,5,3,4,18,10,0,38,18,27,43,31,28,60,49,35,41,26,29,34,35,35,25,45,43,45,95,70,82,93,80,18,27,72,59,43,47,38,38,57,77,101,143,915150,167055
2024-05-04,5,4,5,23,13,2,26,28,29,30,33,39,33,44,24,14,18,22,41,43,44,43,39,39,46,55,93,93,77,70,36,24,45,39,44,33,25,41,48,54,142,99,815480,160783
2024-05-05,5,5,6,15,9,2,20,25,19,27,17,29,26,40,19,26,20,24,34,38,40,36,33,43,37,52,76,88,60,71,26,28,26,35,41,27,30,34,72,62,90,116,749940,112497
2024-05-06,5,6,0,20,11,0,26,24,28,34,27,34,30,55,26,34,30,26,38,50,39,48,55,33,64,76,87,91,123,68,38,31,69,54,65,37,24,45,53,78,130,111,953980,176124
2024-05-07,5,7,1,19,12,0,24,21,38,41,34,45,33,49,31,29,24,43,37,53,40,34,40,52,35,116,78,66,104,131,35,27,54,50,40,41,20,35,117,105,142,104,1036930,151917
2024-05-08,5,8,2,15,6,1,19,27,35,43,32,38,43,29,18,42,28,29,43,32,39,43,31,55,52,135,94,78,91,73,33,30,70,54,47,28,39,44,78,80,131,100,981000,115344
2024-05-09,5,9,3,23,13,0,27,24,37,33,58,38,46,48,32,15,28,23,34,50,61,42,50,48,53,123,58,80,91,88,30,31,43,66,54,24,29,39,79,60,90,112,951180,146084
2024-05-10,5,10,4,20,12,1,24,39,31,25,31,41,57,63,38,40,17,27,40,47,59,50,40,22,63,112,94,96,89,78,33,25,49,61,47,39,38,66,87,61,119,80,1009570,156789
2024-05-11,5,11,5,22,16,1,36,29,28,49,45,32,34,39,33,35,33,25,55,45,53,38,49,25,44,121,61,101,71,68,36,21,52,55,54,33,28,61,89,134,137,141,1002440,134086
