date,month,day,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-04-06,4,6,5,18,10,0,27,16,42,31,39,33,32,40,31,24,25,26,46,41,44,45,46,35,43,114,74,93,66,110,36,24,58,57,43,32,41,34,47,104,144,148,946140,152036
2024-04-07,4,7,6,18,8,1,33,24,33,27,47,34,27,45,28,38,28,37,42,33,30,37,50,45,27,76,82,113,86,79,42,30,64,58,65,36,34,42,70,90,155,134,950250,168247
2024-04-08,4,8,0,14,7,0,31,17,35,36,50,36,55,48,22,48,27,33,41,49,33,48,48,38,40,111,71,66,97,104,24,26,53,58,34,44,45,46,56,77,103,123,952340,133790
2024-04-09,4,9,1,16,7,0,24,26,25,47,35,39,44,34,38,42,27,31,37,33,44,43,30,48,62,92,106,104,88,81,32,24,41,56,33,50,32,54,113,55,124,115,987330,132556
2024-04-10,4,10,2,19,11,1,32,26,29,36,45,53,27,54,32,46,24,33,31,43,44,49,41,42,51,89,50,91,79,110,32,21,60,68,43,29,30,39,71,79,109,103,939070,118408
2024-04-11,4,11,3,11,5,0,26,23,26,33,31,33,39,55,36,36,19,30,36,26,41,56,45,44,60,141,108,103,96,101,45,29,48,57,73,38,35,46,71,75,90,132,1062150,175684
2024-04-12,4,12,4,17,10,0,41,32,30,41,38,36,37,48,25,45,31,28,44,57,47,47,38,52,31,64,93,92,104,89,45,31,88,61,44,39,36,41,82,68,115,89,988570,172817
2024-04-13,4,13,5,14,6,0,34,27,35,35,36,34,53,18,34,32,26,30,32,49,41,38,51,46,46,76,114,79,98,101,38,36,61,38,48,26,20,28,63,73,146,117,937760,156207
2024-04-14,4,14,6,17,11,0,18,24,37,41,42,34,48,46,24,35,20,33,47,39,52,54,44,45,33,96,131,84,95,73,35,21,36,48,45,51,37,46,63,95,150,141,989540,131629
2024-04-15,4,15,0,12,2,0,25,42,29,46,30,41,60,62,29,53,21,40,50,43,45,39,38,58,38,63,95,93,100,104,21,26,50,73,50,29,51,48,85,69,119,83,1004270,147052
2024-04-16,4,16,1,15,9,0,30,29,27,32,40,44,37,51,35,53,25,24,30,42,43,51,37,39,46,95,112,98,94,111,45,26,58,37,44,32,27,33,78,111,107,132,1032510,156698
2024-04-17,4,17,2,17,9,0,41,21,23,34,41,32,44,40,13,40,30,28,31,36,37,43,42,30,34,85,103,78,80,58,34,34,62,49,47,16,54,45,86,46,111,112,878380,163369
2024-04-18,4,18,3,17,8,0,26,25,28,27,43,32,46,52,25,45,15,33,46,47,45,42,50,38,43,104,103,52,70,107,38,29,51,55,47,45,34,44,43,85,116,128,934440,148585
2024-04-19,4,19,4,18,10,0,23,36,33,39,57,32,45,43,24,38,23,30,50,48,35,39,41,51,50,104,75,117,79,67,20,25,65,65,50,47,33,36,91,71,109,134,980660,110086
2024-04-20,4,20,5,11,2,1,31,38,45,31,43,42,40,50,31,39,27,31,44,33,31,41,51,42,46,147,98,59,91,85,42,35,65,56,58,34,38,39,66,59,145,126,990700,192382
2024-04-21,4,21,6,14,4,1,27,31,22,41,37,33,29,41,26,48,15,40,44,44,51,53,46,51,40,92,87,49,100,71,41,28,48,78,61,25,35,34,79,88,126,167,939620,133474
2024-04-22,4,22,0,17,8,1,32,34,22,46,52,21,30,70,35,29,27,39,22,45,37,45,46,44,42,59,97,47,77,106,28,27,57,65,49,33,35,42,69,69,100,127,894690,123797
2024-04-23,4,23,1,14,5,0,23,31,31,54,34,42,53,49,14,46,25,27,38,36,59,44,48,42,44,81,92,116,102,104,30,35,42,47,47,42,32,29,73,76,100,115,997500,166825
2024-04-24,4,24,2,16,10,1,24,24,23,31,36,31,37,61,18,31,26,29,37,43,32,51,37,40,38,110,85,68,102,67,39,35,64,58,55,40,37,49,63,85,125,123,939540,157795
2024-04-25,4,25,3,19,9,2,25,33,33,33,28,24,28,47,22,26,21,22,33,36,28,46,38,32,33,60,81,57,64,51,23,20,44,48,34,43,28,22,35,54,69,97,705650,127832
2024-04-26,4,26,4,16,6,0,27,31,28,37,30,16,47,60,31,39,27,32,42,24,45,46,35,46,50,59,94,51,85,96,36,33,31,43,52,45,38,30,72,63,100,107,862870,157981
2024-04-27,4,27,5,18,12,1,31,37,26,30,35,24,65,52,31,54,14,31,43,35,58,32,50,38,64,111,89,99,78,55,29,21,42,62,43,19,32,53,97,87,120,142,979940,161793
2024-04-28,4,28,6,15,8,2,21,24,41,38,38,46,29,40,40,17,17,28,31,41,22,47,43,33,33,90,99,84,74,73,28,28,54,35,45,39,20,40,74,57,132,101,863690,135714
2024-04-29,4,29,0,13,7,1,29,35,30,45,39,33,53,60,20,35,30,35,38,39,39,51,38,44,33,95,86,122,120,78,31,30,39,46,47,38,27,51,82,72,130,110,1002430,130916
2024-04-30,4,30,1,13,4,0,27,27,35,37,36,36,45,52,40,21,25,20,45,48,54,29,48,42,48,87,113,74,92,107,24,34,55,47,43,37,34,59,81,83,105,95,992870,147703
2024-05-01,5,1,2,17,7,1,28,25,29,42,33,35,44,52,42,40,21,36,46,57,48,43,44,33,50,120,71,100,101,83,49,32,67,58,27,34,40,62,82,72,121,114,1017220,147903
2024-05-02,5,2,3,15,9,0,32,35,42,34,46,40,41,36,29,56,20,37,50,40,65,46,42,44,61,72,92,104,62,92,48,22,53,46,21,32,40,37,52,91,129,100,945110,148515
2024-05-03,5,3,4,20,13,0,26,38,19,46,51,42,51,51,29,52,20,27,28,27,22,43,40,37,66,115,100,76,87,66,42,32,41,63,54,34,20,51,67,82,106,97,960450,138622
2024-05-04,5,4,5,23,17,0,30,21,33,28,48,30,44,58,34,40,23,28,61,38,35,39,45,45,53,98,140,98,72,118,31,28,43,55,47,29,36,35,101,73,175,120,1047020,131050
2024-05-05,5,5,6,24,14,1,38,31,29,38,32,37,44,45,22,44,19,32,35,41,57,41,25,40,48,90,93,89,99,64,36,42,58,42,36,44,39,34,81,46,141,146,918440,151173
2024-05-06,5,6,0,19,12,0,28,30,37,49,31,43,45,48,48,49,27,27,41,52,38,47,50,36,70,84,141,72,101,75,24,34,55,35,55,43,37,38,91,88,112,130,1030720,136818
2024-05-07,5,7,1,24,17,2,19,16,19,23,25,33,29,47,21,30,26,27,28,35,35,41,33,30,38,66,97,72,60,60,30,22,49,41,39,39,31,51,74,82,108,84,804630,117276
2024-05-08,5,8,2,18,11,0,24,28,29,28,36,17,46,57,26,50,32,40,32,48,51,40,37,34,57,101,88,78,90,98,31,36,47,51,40,44,32,36,57,62,123,91,931280,141429
2024-05-09,5,9,3,21,14,0,29,25,31,28,51,23,41,54,17,44,34,28,54,34,43,36,50,45,62,119,65,78,108,79,23,25,53,49,35,24,32,35,68,88,109,97,949260,165713
2024-05-10,5,10,4,19,13,0,27,39,25,44,38,41,42,59,32,42,21,24,46,40,56,34,42,40,32,91,82,112,104,103,44,25,53,55,23,38,46,60,72,89,89,111,1014820,176165
2024-05-11,5,11,5,21,11,0,33,34,32,50,39,46,38,71,28,39,28,26,40,22,31,37,42,35,47,71,98,98,95,90,39,29,66,59,45,26,39,39,85,88,121,166,986800,134147
