date,month,day,weekday,high_temp,low_temp,weather,ブレンドコーヒー,アイスコーヒー,アメリカンコーヒー,本日のおすすめコーヒー,カフェ・ラテ,豆乳ラテ,ハニーカフェ・オレ,沖縄黒糖ラテ,カフェインレスコーヒー,カフェインレスカフェ・ラテ,ティー,アイスティー,ロイヤルミルクティー,豆乳ティー,国産みかんジュース,青森県産りんごジュース,カフェ・モカ,ココア,宇治抹茶ラテ,キッチントルコライス,ビーフシチュープレート,焼きトマトのハンバーグドリア,海老とペンネのグラタン,十六穀米のミートドリア,からあげ,フライドポテト,エビアボカドサンド,ポンレスハム＆生ハムサンド,キッチンチーズドッグ,キッチンレタスドッグ,キッチンジャーマンドッグ,ピザトースト,瀬戸内海産しらすとたらこ,ナポリタン,ice_drink_sales,hot_drink_sales,accurate_revenue,revenue
2024-04-06,4,6,5,17,8,2,28,21,27,35,37,29,18,40,26,27,22,26,41,33,48,51,39,32,22,70,58,52,75,110,33,25,26,45,43,28,34,32,74,69,105,141,796170,158394
2024-04-07,4,7,6,16,8,0,40,31,21,50,42,44,39,52,33,34,19,37,29,37,51,50,45,38,30,90,104,117,75,92,27,31,55,60,43,38,45,23,78,64,115,170,978170,174003
2024-04-08,4,8,0,16,6,0,27,33,37,37,46,41,34,61,30,38,31,46,41,40,46,35,36,49,57,97,81,63,109,88,19,27,35,75,45,35,42,41,66,54,115,133,937990,146909
2024-04-09,4,9,1,13,7,1,34,22,30,43,38,34,31,46,26,38,27,24,36,50,30,33,39,38,38,82,58,58,98,97,41,20,72,65,44,28,33,52,103,89,119,111,928740,134537
2024-04-10,4,10,2,15,8,1,32,30,26,46,49,46,37,46,17,40,20,33,29,33,40,41,48,42,52,107,104,89,92,69,35,32,68,61,58,40,37,46,83,64,113,134,989710,145489
2024-04-11,4,11,3,18,11,2,30,23,23,39,23,33,14,40,25,26,14,41,28,35,39,48,28,46,36,59,67,94,94,50,36,27,52,44,46,26,36,41,61,83,96,119,815500,111439
2024-04-12,4,12,4,14,8,0,22,32,43,41,47,49,47,46,25,43,27,31,36,36,55,47,40,49,27,103,85,95,90,78,37,23,72,58,41,43,30,40,47,59,135,106,944780,149084
2024-04-13,4,13,5,17,11,1,33,37,36,44,45,35,31,39,24,37,15,25,35,13,38,54,38,46,34,143,118,124,91,90,34,30,34,47,42,39,41,45,86,63,136,151,1033540,125457
2024-04-14,4,14,6,13,7,1,33,23,25,41,45,45,34,50,17,41,19,30,55,41,33,38,36,43,39,91,78,91,99,71,34,28,61,37,39,38,36,47,97,86,143,106,952450,174280
2024-04-15,4,15,0,10,1,0,20,32,27,50,33,56,41,46,28,44,21,28,50,38,47,49,39,33,55,136,70,105,42,107,36,29,66,71,32,48,32,55,87,67,95,105,1004660,152289
2024-04-16,4,16,1,11,3,0,38,34,33,38,29,54,37,43,29,35,26,38,50,38,45,56,37,54,30,88,91,96,103,103,28,26,45,66,36,36,42,32,78,67,95,116,983010,135569
2024-04-17,4,17,2,18,10,2,16,24,27,43,30,22,25,26,29,28,29,25,21,29,31,31,39,32,38,97,83,60,58,95,23,29,51,35,37,45,35,35,77,70,96,114,815310,121196
2024-04-18,4,18,3,11,5,0,23,34,32,48,36,36,45,54,29,30,30,31,34,37,40,40,46,58,38,112,83,87,116,103,40,25,51,46,50,34,29,49,70,75,139,100,999690,138951
2024-04-19,4,19,4,15,5,0,20,27,35,49,31,38,39,35,22,44,36,27,43,35,54,38,62,34,55,133,67,121,61,76,42,29,48,59,19,39,41,47,99,89,101,99,999880,117483
2024-04-20,4,20,5,18,9,2,29,25,29,28,31,27,29,52,21,34,34,29,43,39,34,34,43,31,45,115,76,60,81,67,33,25,52,51,45,39,35,34,78,39,110,118,849380,147928
2024-04-21,4,21,6,16,8,0,35,32,34,39,45,20,32,50,20,34,21,36,49,45,36,40,53,13,57,83,90,97,114,102,38,27,47,47,36,46,51,35,97,72,117,146,992430,155580
2024-04-22,4,22,0,10,1,1,27,28,28,44,37,35,35,45,35,39,25,26,44,36,51,56,33,39,25,135,85,74,118,58,27,29,63,60,52,49,36,40,101,86,104,111,1009770,159752
2024-04-23,4,23,1,15,8,0,16,18,28,43,50,25,36,53,30,42,22,26,35,31,32,54,28,35,57,124,105,105,60,83,40,23,59,51,50,16,42,51,100,104,121,101,1014740,152433
2024-04-24,4,24,2,18,10,0,39,24,43,32,37,41,34,37,39,34,27,37,40,46,49,38,45,44,40,108,121,119,77,60,36,33,54,59,39,39,37,29,58,72,115,89,977460,177762
2024-04-25,4,25,3,10,0,0,35,30,30,36,34,48,57,32,19,43,24,31,33,41,39,29,44,35,45,84,123,115,49,85,36,28,47,47,58,41,29,36,94,59,107,140,951910,142208
2024-04-26,4,26,4,16,10,0,26,34,28,37,31,41,45,53,22,38,27,33,37,19,33,32,46,29,60,91,79,96,97,87,39,32,34,43,48,41,17,33,68,83,117,97,921220,144493
2024-04-27,4,27,5,11,5,1,40,30,44,40,43,30,36,53,29,35,33,34,70,44,53,37,53,42,47,150,96,83,96,88,41,20,56,58,46,41,30,26,77,64,156,120,1037410,160998
2024-04-28,4,28,6,15,5,0,29,31,20,31,30,27,39,43,28,24,26,34,31,51,39,44,39,42,45,71,70,82,74,89,33,26,42,67,48,34,29,49,117,103,151,127,930540,139368
2024-04-29,4,29,0,14,4,0,32,20,30,41,37,47,51,48,29,38,31,41,36,44,54,38,43,29,50,108,76,87,95,54,23,23,75,47,33,29,36,38,78,80,86,116,941040,154244
2024-04-30,4,30,1,13,3,0,60,26,32,32,36,33,48,22,27,35,24,31,38,36,37,28,41,40,46,85,93,109,96,94,38,32,46,54,58,32,39,36,61,72,128,119,948490,155043
2024-05-01,5,1,2,17,10,1,32,27,28,35,39,37,40,69,23,38,24,30,51,50,48,40,51,46,45,110,101,105,63,95,38,36,56,60,35,29,28,47,84,86,137,96,1017960,145872
2024-05-02,5,2,3,22,12,1,33,22,24,38,33,31,65,44,29,37,26,29,47,32,46,36,38,30,50,89,124,90,79,99,24,28,46,48,45,46,30,52,80,86,100,112,987240,150315
2024-05-03,5,3,4,17,11,1,32,23,31,48,34,26,42,38,30,44,26,35,42,36,45,20,50,41,50,116,76,134,58,72,43,33,43,41,33,41,43,56,73,73,107,123,951130,169317
2024-05-04,5,4,5,18,8,0,25,26,33,46,47,23,40,49,33,38,35,43,38,35,46,39,41,34,48,75,132,63,85,133,32,30,71,52,48,34,36,44,92,65,122,142,1006700,148033
2024-05-05,5,5,6,21,11,0,36,21,34,34,37,39,37,51,23,35,26,27,39,43,47,47,56,43,45,109,93,79,91,76,32,26,51,39,43,31,26,42,81,82,117,145,954930,151182
2024-05-06,5,6,0,18,9,1,27,28,28,39,32,44,39,55,19,34,23,39,36,39,38,32,51,30,48,84,83,92,90,60,39,37,48,60,30,36,38,30,91,89,114,105,926960,173619
2024-05-07,5,7,1,23,15,1,19,25,32,40,41,43,40,47,40,45,26,23,45,46,45,40,36,42,47,55,58,81,81,76,26,24,53,56,59,27,35,58,55,88,97,108,869710,159760
2024-05-08,5,8,2,20,10,1,30,28,42,39,44,43,44,45,28,45,27,32,37,45,49,36,52,26,46,67,108,89,86,83,36,30,61,32,40,23,36,36,84,64,87,114,932940,174829
2024-05-09,5,9,3,20,13,2,23,25,27,37,32,32,45,32,30,32,26,27,36,36,50,39,27,30,32,76,77,60,72,73,23,34,37,37,42,32,40,49,63,43,106,102,780000,143714
2024-05-10,5,10,4,21,11,1,35,24,29,34,43,33,36,58,19,40,28,29,34,33,42,49,37,31,33,110,98,93,70,84,39,24,66,76,34,42,29,48,75,63,108,137,954430,151362
2024-05-11,5,11,5,15,5,1,35,22,28,34,52,51,42,37,39,50,27,28,34,34,46,45,56,43,50,116,88,93,79,91,55,18,61,31,54,35,27,25,69,61,140,147,963050,130248
